    PK(OVR),TEAM,Player,HT,WT,POS,SCHOOL
    1,Atlanta,Zaccharie Risacher,6-8,195,SF,France
    2,Washington,Alex Sarr,6-11,224,PF,France
    3,Houston (From BKN),Reed Sheppard,6-1,182,SG,Kentucky
    4,San Antonio,Stephon Castle,6-5,210,PG,UConn
    5,Detroit,Ron Holland II,6-6,197,SF,null
    6,Charlotte,Tidjane Salaün,6-8,217,PF,France
    7,Portland,Donovan Clingan,7-1,282,C,UConn
    8,San Antonio (From TOR),Rob Dillingham,6-1,164,PG,Kentucky
    9,Memphis,Zach Edey,7-3,299,C,Purdue
    10,Utah,Cody Williams,6-6,178,SG,Colorado
    11,Chicago,Matas Buzelis,6-8,197,SF,null
    12,Oklahoma City (From HOU),Nikola Topić,6-5,203,PG,Serbia
    13,Sacramento,Devin Carter,6-2,193,PG,Providence
    14,Portland (From GSW),Bub Carrington,6-3,195,PG,Pittsburgh
    15,Miami,Kel'el Ware,6-10,210,C,Indiana
    16,Philadelphia,Jared McCain,6-2,203,PG,Duke
    17,LA Lakers,Dalton Knecht,6-5,212,SF,Tennessee
    18,Orlando,Tristan da Silva,6-8,217,SF,Colorado
    19,Toronto (From IND),Ja'Kobe Walter,6-4,198,SG,Baylor
    20,Cleveland,Jaylon Tyson,6-5,218,SG,California
    21,New Orleans (From MIL),Yves Missi,6-10,229,C,Baylor
    22,Phoenix,DaRon Holmes II,6-8,236,PF,Dayton
    23,Milwaukee (From NOP),AJ Johnson,6-4,167,SG,USA
    24,New York (From DAL),Kyshawn George,6-7,209,SG,Miami
    25,New York,Pacôme Dadiet,6-7,217,SG,France
    26,Washington (From LAC via DAL and OKC),Dillon Jones,6-4,237,SF,Weber State
    27,Minnesota,Terrence Shannon Jr.,6-5,219,SG,Illinois
    28,Denver,Ryan Dunn,6-6,214,SF,Virginia
    29,Utah (From OKC via TOR and IND),Isaiah Collier,6-2,205,PG,USC
    30,Boston,Baylor Scheierman,6-6,202,SG,Creighton
    31,Toronto,Jonathan Mogbo,6-6,217,C,San Francisco
    32,Utah,Kyle Filipowski,6-10,230,PF,Duke
    33,Milwaukee,Tyler Smith,6-9,224,SF,null
    34,Portland,Tyler Kolek,6-1,197,PG,Marquette
    35,San Antonio,Johnny Furphy,6-7,189,SG,Kansas
    36,Indiana,Juan Núñez,6-4,206,PG,Spain
    37,Minnesota,Bobi Klintman,6-8,212,PF,Sweden
    38,New York,Ajay Mitchell,6-3,197,PG,UC Santa Barbara
    39,Memphis,Jaylen Wells,6-6,206,SG,Washington State
    40,Portland,Osasere Ighodaro,6-9,222,PF,Marquette
    41,Philadelphia,Adem Bona,6-8,243,C,UCLA
    42,Charlotte,KJ Simpson,6-0,187,PG,Colorado
    43,Miami,Nikola Djurisić,6-7,209,SG,Serbia
    44,Houston,Pelle Larsson,6-5,212,SG,Arizona
    45,Sacramento,Jamal Shead,6-0,201,PG,Houston
    46,LA,Cameron Christie,6-4,190,SG,Minnesota
    47,Orlando,Antonio Reeves,6-4,187,SG,Kentucky
    48,San Antonio,Harrison Ingram,6-5,234,SF,North Carolina
    49,Indiana,Tristen Newton,6-3,192,PG,UConn
    50,Indiana,Enrique Freeman,6-7,212,PF,Akron
    51,New York,Melvin Ajinça,6-7,214,SG,France
    52,Golden State,Quinten Post,7-0,244,C,Boston College
    53,Detroit,Cam Spencer,6-3,202,SG,UConn
    54,Boston,Anton Watson,6-7,233,PF,Gonzaga
    55,LA Lakers,Bronny James,6-1,210,PG,USC
    56,Phoenix,Kevin McCullar Jr.,6-5,206,SF,Kansas
    57,Memphis,Ulrich Chomche,6-10,232,PF,Cameroon
    58,Dallas,Ariel Hukporti,6-10,246,C,Germany
