PK(OVR),TEAM,NAME,HT,WT,POS,SCHOOL
31,Toronto,Jonathan Mogbo,6-6,217,C,San Francisco
32,Utah,Kyle Filipowski,6-10,230,PF,Duke
33,Milwaukee,Tyler Smith,6-9,224,SF,null
34,Portland,Tyler Kolek,6-1,197,PG,Marquette
35,San Antonio,Johnny Furphy,6-7,189,SG,Kansas
36,Indiana,Juan Núñez,6-4,206,PG,Spain
37,Minnesota,Bobi Klintman,6-8,212,PF,Sweden
38,New York,Ajay Mitchell,6-3,197,PG,UC Santa Barbara
39,Memphis,Jaylen Wells,6-6,206,SG,Washington State
40,Portland,Osasere Ighodaro,6-9,222,PF,Marquette
41,Philadelphia,Adem Bona,6-8,243,C,UCLA
42,Charlotte,KJ Simpson,6-0,187,PG,Colorado
43,Miami,Nikola Djurisić,6-7,209,SG,Serbia
44,Houston,Pelle Larsson,6-5,212,SG,Arizona
45,Sacramento,Jamal Shead,6-0,201,PG,Houston
46,LA,Cameron Christie,6-4,190,SG,Minnesota
47,Orlando,Antonio Reeves,6-4,187,SG,Kentucky
48,San Antonio,Harrison Ingram,6-5,234,SF,North Carolina
49,Indiana,Tristen Newton,6-3,192,PG,UConn
50,Indiana,Enrique Freeman,6-7,212,PF,Akron
51,New York,Melvin Ajinça,6-7,214,SG,France
52,Golden State,Quinten Post,7-0,244,C,Boston College
53,Detroit,Cam Spencer,6-3,202,SG,UConn
54,Boston,Anton Watson,6-7,233,PF,Gonzaga
55,LA Lakers,Bronny James,6-1,210,PG,USC
56,Phoenix,Kevin McCullar Jr.,6-5,206,SF,Kansas
57,Memphis,Ulrich Chomche,6-10,232,PF,Cameroon
58,Dallas,Ariel Hukporti,6-10,246,C,Germany
