player_name,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
AJ Hammons,2017,329,163,-6.95183826,-3.92368953,-10.87552779,-1.758884399,2.795691696,1.036807296,-6.225790238,-2.75331199,-8.979102228,-0.515632351,-0.515632351,0,-6.869165002,-3.507816805,-10.37698181,-0.453689655
AJ Price,2014.5,419.5,211.5,-0.699639335,0.489097026,-0.21054231,-6.067971283,2.468114909,-3.599856374,-1.88980452,0.919698287,-0.970106233,0.27731049,0.27731049,0,-1.512519923,-1.747889498,-3.260409421,-1.420504192
Aaron Brooks,2016,2334.6,1155,0.183600832,-2.902579648,-2.718978816,-1.404189069,-0.746258393,-2.150447462,-0.148003883,-2.626259737,-2.77426362,0.503731588,0.640531471,-0.136799882,-0.050661307,-2.430638615,-2.481299922,-0.251897432
Aaron Gordon,2018.5,3498.625,1696,-0.336396113,0.59521341,0.258817298,2.523498357,0.98464231,3.508140667,0.065769436,0.589807492,0.655576928,2.759644895,2.754883588,0.004761307,-0.243967388,0.253077085,0.009109696,-0.116542561
Aaron Gray,2014,721,355,-3.664139286,1.674776736,-1.98936255,-1.093269162,-3.355076859,-4.448346021,-3.376561567,0.747393658,-2.629167909,0.008628373,0.008628373,0,-3.275174707,-0.059346078,-3.334520784,0.019313124
Aaron Harrison,2017,245.3333333,116.6666667,-4.430589924,-3.600315861,-8.030905784,-8.98931514,-0.306075968,-9.295391104,-5.653975703,-3.143846981,-8.797822686,-0.239876587,-0.221281744,-0.018594843,-4.469478168,-2.959274197,-7.428752365,-0.215052149
Aaron Henry,2022,5,2,4.153393662,-26.00462154,-21.85122788,-40.06538471,-43.61136003,-83.67674474,0.89167154,-27.86631637,-26.97464483,-0.025002957,-0.025002957,0,-3.039385122,-23.711133,-26.75051812,1.171133391
Aaron Holiday,2020.5,1942,912.25,-0.780380777,0.714422175,-0.065958602,1.722198587,0.400102274,2.122300861,-0.451909756,0.649931453,0.198021697,1.319755162,1.408435568,-0.088680407,-1.071600896,0.192751385,-0.87884951,-0.071726258
Aaron Jackson,2018,102,52,-7.224167549,-12.23235802,-19.45652556,-10.1202268,-2.546060024,-12.66628683,-8.323783105,-10.99389574,-19.31767884,-0.445552995,-0.329191452,-0.116361543,-6.555529401,-8.875032826,-15.43056223,-0.348733687
Aaron Nesmith,2021.5,812.5,386,-4.732057859,-5.754350335,-10.4864082,-12.0194261,-3.894630811,-15.91405691,-5.385444774,-5.522086358,-10.90753113,-0.123669014,-0.179948636,0.056279622,-5.529921698,-4.676475434,-10.20639713,0.304299789
Abdel Nader,2020,1103.8,515.8,-4.110824909,-0.581758487,-4.692583396,-5.405214436,-0.819083398,-6.224297835,-4.821994466,-0.598700245,-5.420694711,-0.559475612,-0.527651632,-0.031823981,-4.552944715,-1.397158338,-5.950103053,0.216722971
Adam Mokoka,2020.5,179,84,-2.715827241,-0.883921484,-3.599748725,-3.030919635,6.542775827,3.511856191,-2.884036191,0.641558656,-2.242477535,0.084439145,0.084439145,0,-2.91151242,-1.060960478,-3.972472898,1.063229307
Admiral Schofield,2020,791,368,-1.80405909,-3.9200524,-5.724111489,-2.21002794,-0.879993109,-3.09002105,-1.996430996,-3.440502385,-5.436933381,-0.501913557,-0.501913557,0,-1.924901213,-4.007554366,-5.932455579,-0.519719625
Adonis Thomas,2014,75,37,2.261918899,-1.654476248,0.607442651,6.167551212,7.341935727,13.50948694,3.308346586,0.170779835,3.479126421,0.118405232,0.118405232,0,-0.299849419,-0.629319242,-0.929168661,0.696706333
Adreian Payne,2016.5,703,350.75,-2.214953,-4.412365863,-6.627318863,-2.826761211,-3.090738526,-5.917499737,-2.450867697,-4.326519467,-6.777387163,-0.872203052,-0.872203052,0,-2.346121893,-3.330258307,-5.676380201,0.202496142
Al Harrington,2014,1131,570,-2.379270897,-0.122851912,-2.502122809,-1.092260653,-1.604671006,-2.696931658,-2.268732184,-0.475915893,-2.744648077,-0.002384084,0.181734456,-0.18411854,-1.901142993,-1.509355518,-3.410498511,0.574033832
Al Horford,2018,4066.888889,1987.555556,0.054096652,1.99746728,2.051563932,0.804397046,0.937332009,1.741729055,0.272432271,1.89304491,2.165477181,5.085477194,4.167984642,0.917492553,0.470092192,1.768421752,2.238513944,-0.470663901
Al Jefferson,2016,2892.6,1466,-1.613118952,-0.253992103,-1.867111055,-0.731212882,-1.288749828,-2.019962709,-1.508333549,-0.497471022,-2.005804572,1.101489081,1.145031227,-0.043542147,-1.79494462,-0.159597395,-1.954542014,-0.928155078
Al-Farouq Aminu,2017.5,3552.875,1733.5,-1.722641289,2.012787943,0.290146654,-0.712966619,1.635832901,0.922866282,-1.62008275,2.065710911,0.445628161,3.198830764,2.750344598,0.448486166,-1.349280639,1.848778841,0.499498202,-0.139905731
