Rank,Player_x,Position,School,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Yahoo,GP,GS,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,Predicted_WS/48,Predicted_PPG,Predicted_VORP,Predicted_raptor_onoff_offense,Predicted_raptor_onoff_defense,Predicted_raptor_offense,Predicted_raptor_defense,Predicted_war_total,Predicted_predator_defense,Predicted_predator_total,match_name,match_score,    PK(OVR),TEAM,Player_y,HT,WT,POS,SCHOOL
75,"Minix, Riley",SF,Morehead State,1/1/2000,24.48,"6'8""","6'10""",227,,,,,,,,75,69.86,71.0,68.0,83.0,77.0,70.0,67.0,53.0,35,35.0,33.8,20.9,3.0,6.6,9.7,2.2,1.3,1.0,2.3,2.3,7.8,14.4,0.541,6.1,9.5,0.638,1.7,4.8,0.349,3.7,4.4,0.839,0.708,22.3,3.2,7.0,10.3,2.3,1.4,1.1,2.4,2.4,8.3,10.1,5.1,4.7,https://www.sports-reference.com/cbb/players/riley-minix-1.html,0.19461900276684108,13.300750511141976,21.233357400773954,1.9102874725854866,-0.04557357725903203,3.161125464021672,0.15012828752289648,6.300778553326698,0.23073077559241292,2.819861775847642,,,,,,,,,
2,"Sheppard, Reed",PG,Kentucky,6/24/2004,20.0,"6'3""","6'6.25""",182,"9""","7'9.5""",32.5,42.0,10.96,3.03,3.08,2,3.57,4.0,2.0,3.0,2.0,4.0,5.0,5.0,33,5.0,28.9,12.5,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,4.3,8.0,0.536,2.0,3.6,0.555,2.3,4.4,0.521,1.6,2.0,0.831,0.747,15.6,0.5,4.7,5.1,5.6,3.1,0.9,2.5,2.4,5.4,4.5,5.5,2.5,https://www.sports-reference.com/cbb/players/reed-sheppard-2.html,0.19213685766450195,13.471934911463872,22.39335057603694,1.884126851104841,0.0004235023010747385,3.3809684968791176,0.3686317215458359,6.472150866496429,0.3298383464466024,2.5559056948854413,Reed Sheppard,95.0,3.0,Houston (From BKN),Reed Sheppard,6-1,182.0,SG,Kentucky
47,"Spencer, Cam",SG,UConn,4/6/2000,24.22,"6'4.25""","6'5""",202,"9.75""","8'2.5""",23.0,30.5,11.07,3.0,3.35,47,48.14,42.0,38.0,59.0,53.0,37.0,55.0,53.0,40,40.0,33.0,14.3,1.1,3.8,4.9,3.6,1.5,0.3,1.0,2.2,4.9,10.1,0.484,2.4,4.5,0.539,2.5,5.6,0.44,2.1,2.3,0.911,0.681,15.6,1.2,4.1,5.3,3.9,1.6,0.3,1.1,2.4,5.3,4.9,6.1,2.5,https://www.sports-reference.com/cbb/players/cam-spencer-1.html,0.18220178577685212,16.872362928495164,41.8915441710358,2.8052303781812498,-0.34843405180746145,3.1607222090455975,-1.4968828234680678,5.967494872895681,-1.9473413644625595,0.8009914426137469,Cam Spencer,95.0,53.0,Detroit,Cam Spencer,6-3,202.0,SG,UConn
77,"Williams, Jaylin",PF,Auburn,7/26/2000,23.91,"6'8""","7'0""",230,,,,,,,,77,71.71,84.0,81.0,70.0,77.0,70.0,67.0,53.0,34,33.0,24.1,12.4,1.1,3.4,4.4,1.9,0.7,0.7,1.1,1.8,4.5,7.8,0.574,3.5,5.3,0.659,1.0,2.5,0.395,2.5,3.0,0.832,0.759,18.5,1.6,5.1,6.6,2.8,1.0,1.0,1.6,2.7,6.7,7.9,3.7,4.5,https://www.sports-reference.com/cbb/players/jaylin-williams-1.html,0.18170393229497872,12.974314459693424,19.988499715092324,-0.6466016322464313,-0.24367335142682436,2.637568234378232,-0.16084337142378796,6.487704725014554,-0.26818605173579463,2.6579878362647538,,,,,,,,,
37,"Mogbo, Jonathan",PF,San Francisco,10/29/2001,22.66,"6'7.5""","7'2""",217,"8.75""","9'0.5""",31.5,37.5,11.14,3.07,3.02,37,41.0,40.0,43.0,44.0,39.0,39.0,42.0,40.0,34,34.0,28.9,14.2,3.3,6.8,10.1,3.6,1.6,0.8,1.8,2.6,6.1,9.5,0.636,6.1,9.5,0.64,0.0,0.1,0.0,2.1,3.1,0.692,0.724,17.7,4.1,8.5,12.6,4.5,2.0,1.0,2.2,3.2,7.6,11.8,0.1,3.9,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html,0.1806358129049954,8.494783762013096,11.314798567739325,-0.8612720285674365,-0.03198582203343904,-1.5310667390732928,0.15236339363953605,1.080349978103187,-0.8441884341763943,-1.7566930503439422,Jonathan Mogbo,95.0,31.0,Toronto,Jonathan Mogbo,6-6,217.0,C,San Francisco
4,"Clingan, Donovan",C,UConn,2/23/2004,20.34,"7'3""","7'6.75""",282,"10.25""","9'7""",25.5,29.0,12.06,3.38,3.46,4,3.71,3.0,4.0,4.0,7.0,2.0,3.0,3.0,35,33.0,22.5,13.0,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2.0,5.3,8.3,0.639,5.3,8.1,0.65,0.1,0.2,0.25,2.3,4.0,0.583,0.76,20.8,4.0,7.8,11.8,2.4,0.8,4.0,1.3,3.2,8.5,13.0,0.3,6.4,https://www.sports-reference.com/cbb/players/donovan-clingan-1.html,0.18032613517390123,8.753891971398005,7.205907323560883,-2.0585017975884576,-0.4273320012364072,-2.603349821712705,-1.1122115550207041,2.356915080239957,-0.40449179742975794,-1.6315901467933722,Donovan Clingan,95.0,7.0,Portland,Donovan Clingan,7-1,282.0,C,UConn
124,"Kalkbrenner, Ryan",C,Creighton,1/17/2002,22.44,"7'2""",,252,,,,,,,,88,,,,,,,,,35,35.0,34.7,17.3,2.5,5.1,7.6,1.3,0.4,3.1,1.5,1.9,6.9,10.7,0.646,6.4,9.1,0.705,0.5,1.5,0.296,3.0,4.3,0.711,0.785,17.9,2.6,5.3,7.9,1.3,0.4,3.2,1.6,2.0,7.2,9.4,1.6,4.5,https://www.sports-reference.com/cbb/players/ryan-kalkbrenner-1.html,0.17992338419312176,6.758420561857316,3.6555073974998358,-2.9205760022909577,-0.02626106994839505,-1.7662755435269724,-0.16400865277690677,1.0137487673435839,-1.1968418608931808,-2.298495552814735,Ryan Dunn,86.0,28.0,Denver,Ryan Dunn,6-6,214.0,SF,Virginia
112,"Karaban, Alex",PF,UConn,11/11/2002,21.62,"6'7.75""","6'11""",219,"9.25""","8'10.5""",22.5,32.0,11.23,,3.2,33,,,,,,,,,39,39.0,31.4,13.3,1.4,3.6,5.1,1.5,0.9,0.8,0.8,1.7,4.9,9.9,0.495,2.8,4.4,0.64,2.1,5.5,0.379,1.4,1.6,0.885,0.646,15.2,1.6,4.1,5.8,1.7,1.0,0.9,0.9,1.9,5.6,5.0,6.3,1.8,https://www.sports-reference.com/cbb/players/alex-karaban-1.html,0.17965159952934673,17.149165510600184,39.01486493393305,3.110625011947952,-0.10441604260937275,2.8700185534252496,-1.1660464033698645,6.654020215262868,-1.0435164199730824,1.8172065456864135,,,,,,,,,
126,"Toppin, JT",PF,New Mexico,6/14/2005,19.03,"6'8.25""","7'0.5""",221,"9.25""","8'10""",28.5,34.0,11.12,3.01,3.27,85,,,,,,,,,36,35.0,26.6,12.4,3.7,5.4,9.1,0.6,1.1,1.9,0.9,2.6,5.4,8.6,0.623,5.1,7.7,0.655,0.3,0.9,0.344,1.3,2.4,0.565,0.701,16.8,5.0,7.3,12.3,0.8,1.5,2.6,1.2,3.5,7.3,10.4,1.2,3.2,https://www.sports-reference.com/cbb/players/jt-toppin-1.html,0.17818530368354346,9.417162442301574,9.911398798073215,-1.5124693564980927,0.2430147089735862,-1.0401858210865476,0.8248019103034672,2.301050337916014,1.5788630557663712,-0.07575392282634921,,,,,,,,,
19,"Edey, Zach",C,Purdue,5/14/2002,22.11,"7'5.25""","7'10.75""",299,"10.75""","9'7""",26.0,31.5,11.19,3.01,3.42,19,19.14,16.0,17.0,23.0,26.0,15.0,19.0,18.0,39,39.0,32.0,25.2,4.6,7.5,12.2,2.0,0.3,2.2,2.3,1.9,8.6,13.8,0.623,8.6,13.8,0.624,0.0,0.1,0.5,7.9,11.2,0.711,0.893,28.4,5.2,8.4,13.7,2.3,0.3,2.5,2.6,2.1,9.7,15.5,0.1,12.6,https://www.sports-reference.com/cbb/players/zach-edey-1.html,0.17576486210947934,10.614535370432456,5.817550656410257,-0.24727094128031774,0.0009508873329000226,-1.4154724133935923,0.3820030535772944,1.5600042777838095,0.24944459705895836,-1.8317559811567963,Zach Edey,95.0,9.0,Memphis,Zach Edey,7-3,299.0,C,Purdue
21,"Missi, Yves",C,Baylor,5/14/2004,20.11,"7'0""","7'2""",229,"10""","9'1.5""",31.0,38.5,11.45,3.12,3.12,21,22.29,22.0,20.0,19.0,22.0,25.0,29.0,19.0,34,32.0,22.9,10.7,2.6,3.0,5.6,0.4,0.6,1.5,1.1,2.4,4.1,6.7,0.614,4.1,6.7,0.614,0.0,0.0,0.0,2.5,4.1,0.616,0.767,16.8,4.1,4.7,8.8,0.6,0.9,2.4,1.7,3.8,6.4,10.5,0.0,6.4,https://www.sports-reference.com/cbb/players/yves-missi-2.html,0.17572377123665628,8.137529590921083,7.053131786087283,-1.349026541930749,-0.4155024355530629,-1.9070957574279086,1.1092641350278065,2.0171826559486283,0.8798872891015886,-1.2190113752278107,Yves Missi,95.0,21.0,New Orleans (From MIL),Yves Missi,6-10,229.0,C,Baylor
73,"Edwards, Jesse",C,West Virginia,3/18/2000,24.27,7' 0.75'',7' 5.00'',236,10.0,9' 3.00'',30.5,35.5,11.24,3.23,3.33,73,68.57,69.0,70.0,74.0,77.0,70.0,67.0,53.0,23,22.0,28.2,15.0,3.2,4.9,8.0,1.2,0.6,1.7,1.9,3.0,5.8,9.4,0.613,5.8,9.3,0.624,0.0,0.2,0.0,3.5,6.7,0.523,0.779,19.1,4.1,6.3,10.2,1.5,0.8,2.2,2.4,3.8,7.4,11.9,0.3,8.6,https://www.sports-reference.com/cbb/players/jesse-edwards-1.html,0.1756157246044215,8.559373079004326,8.91523761887341,-1.0079039590388956,0.25633648311018603,-2.0849050830849296,0.8405462686701282,1.5933717930320157,0.8485633428062378,-1.6395406600933047,,,,,,,,,
